,repo,year,month,day,hour,minutes,seconds,dates,weekday
0,/EtzionR/Cumulative-Heatmap-Calculation,2021,09,22,09,04,46,2021-09-22,Wednesday
1,/EtzionR/Cumulative-Heatmap-Calculation,2021,08,17,19,58,14,2021-08-17,Tuesday
2,/EtzionR/Cumulative-Heatmap-Calculation,2021,08,05,09,50,04,2021-08-05,Thursday
3,/EtzionR/Cumulative-Heatmap-Calculation,2021,08,05,09,21,37,2021-08-05,Thursday
4,/EtzionR/Cumulative-Heatmap-Calculation,2021,07,04,12,56,34,2021-07-04,Sunday
5,/EtzionR/Cumulative-Heatmap-Calculation,2021,07,04,12,56,27,2021-07-04,Sunday
6,/EtzionR/Cumulative-Heatmap-Calculation,2021,07,04,12,56,24,2021-07-04,Sunday
7,/EtzionR/Cumulative-Heatmap-Calculation,2021,07,04,12,54,01,2021-07-04,Sunday
8,/EtzionR/Cumulative-Heatmap-Calculation,2021,07,04,12,53,34,2021-07-04,Sunday
9,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,14,11,55,02,2021-06-14,Monday
10,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,10,14,52,30,2021-06-10,Thursday
11,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,10,14,51,24,2021-06-10,Thursday
12,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,10,14,40,17,2021-06-10,Thursday
13,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,10,14,37,01,2021-06-10,Thursday
14,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,10,14,36,35,2021-06-10,Thursday
15,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,10,14,36,25,2021-06-10,Thursday
16,/EtzionR/Cumulative-Heatmap-Calculation,2021,06,10,14,35,24,2021-06-10,Thursday
17,/EtzionR/Cumulative-Heatmap-Calculation,2021,05,26,16,12,44,2021-05-26,Wednesday
18,/EtzionR/Cumulative-Heatmap-Calculation,2020,12,27,18,22,42,2020-12-27,Sunday
19,/EtzionR/Cumulative-Heatmap-Calculation,2020,12,01,10,26,32,2020-12-01,Tuesday
20,/EtzionR/Cumulative-Heatmap-Calculation,2020,11,13,12,06,04,2020-11-13,Friday
21,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,53,05,2020-10-12,Monday
22,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,52,04,2020-10-12,Monday
23,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,48,56,2020-10-12,Monday
24,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,45,26,2020-10-12,Monday
25,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,44,42,2020-10-12,Monday
26,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,44,12,2020-10-12,Monday
27,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,42,53,2020-10-12,Monday
28,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,12,14,2020-10-12,Monday
29,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,10,55,2020-10-12,Monday
30,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,16,00,48,2020-10-12,Monday
31,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,15,58,02,2020-10-12,Monday
32,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,15,29,02,2020-10-12,Monday
33,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,15,27,34,2020-10-12,Monday
34,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,15,22,10,2020-10-12,Monday
35,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,15,21,44,2020-10-12,Monday
36,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,13,20,11,2020-10-12,Monday
37,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,13,18,57,2020-10-12,Monday
38,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,13,18,19,2020-10-12,Monday
39,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,13,09,43,2020-10-12,Monday
40,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,13,04,09,2020-10-12,Monday
41,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,12,49,31,2020-10-12,Monday
42,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,12,12,22,57,2020-10-12,Monday
43,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,11,22,49,15,2020-10-11,Sunday
44,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,11,22,43,38,2020-10-11,Sunday
45,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,11,22,42,48,2020-10-11,Sunday
46,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,11,22,42,13,2020-10-11,Sunday
47,/EtzionR/Cumulative-Heatmap-Calculation,2020,10,11,22,12,16,2020-10-11,Sunday
